name,position,now_cost,predicted_rating
Eddie Nketiah,FWD,63,54
Gabriel Fernando de Jesus,FWD,81,126
Nathan Butler-Oyedeji,FWD,45,0
Ollie Watkins,FWD,73,170
Keinan Davis,FWD,54,0
Cameron Archer,FWD,42,4
Jhon Durán,FWD,55,6
Kieffer Moore,FWD,49,48
Dominic Solanke,FWD,56,121
Christian Saydee,FWD,45,0
Daniel Adu-Adjei,FWD,45,0
Dominic Sadi,FWD,45,0
Euan Pollock,FWD,45,0
Antoine Semenyo,FWD,50,8
Ivan Toney,FWD,71,180
Bryan Mbeumo,FWD,57,151
Marcus Forss,FWD,45,0
Halil Dervişoğlu,FWD,45,4
Danny Welbeck,FWD,65,92
Deniz Undav,FWD,50,47
Julio Enciso,FWD,46,52
Evan Ferguson,FWD,46,63
Timo Werner,FWD,79,0
Kai Havertz,FWD,74,103
Armando Broja,FWD,52,11
Pierre-Emerick Aubameyang,FWD,84,19
David Datro Fofana,FWD,50,3
João Félix Sequeira,FWD,71,40
Christian Benteke,FWD,55,0
Odsonne Edouard,FWD,50,79
Jean-Philippe Mateta,FWD,51,33
Luke Plange,FWD,45,0
John-Kymani Gordon,FWD,45,0
Neal Maupay,FWD,56,33
Salomón Rondón,FWD,49,5
Dominic Calvert-Lewin,FWD,79,34
Thomas Cannon,FWD,45,2
Ellis Simms,FWD,45,9
Aleksandar Mitrović,FWD,66,110
Rodrigo Muniz Carvalho,FWD,54,0
Jay Stansfield,FWD,45,7
Terry Ablade,FWD,45,0
Carlos Vinícius Alves Morais,FWD,54,60
Jamie Vardy,FWD,91,60
Kelechi Iheanacho,FWD,58,74
Patson Daka,FWD,56,69
Patrick Bamford,FWD,71,56
Sam Greenwood,FWD,41,29
Joe Gelhardt,FWD,51,10
Wilfried Gnonto,FWD,47,50
Mateo Joseph Fernández,FWD,45,1
Sonny Perkins,FWD,45,0
Georginio Rutter,FWD,50,8
Roberto Firmino,FWD,80,111
Diogo Teixeira da Silva,FWD,86,76
Darwin Núñez Ribeiro,FWD,86,106
Erling Haaland,FWD,124,258
Julián Álvarez,FWD,61,101
Liam Delap,FWD,44,0
Cristiano Ronaldo dos Santos Aveiro,FWD,102,19
Anthony Martial,FWD,63,71
Shola Shoretire,FWD,45,0
Wout Weghorst,FWD,54,19
Callum Wilson,FWD,73,152
Dwight Gayle,FWD,45,0
Alexander Isak,FWD,70,99
Chris Wood,FWD,56,46
Lyle Taylor,FWD,41,0
Sam Surridge,FWD,46,13
Brennan Johnson,FWD,55,116
Taiwo Awoniyi,FWD,56,93
Emmanuel Dennis,FWD,56,36
Dale Taylor,FWD,45,0
Adam Armstrong,FWD,53,45
Che Adams,FWD,60,86
Sékou Mara,FWD,53,27
Jimmy Morgan,FWD,45,0
