assists_x,clean_sheets_x,expected_goal_involvements,expected_goals_conceded,goals_conceded_x,goals_scored_x,minutes,round,selected,starts,threat,total_points,value,id,element_type,first_name,second_name,team,average_total_points,minutes_played,total_starts,avg_selected,goals_scored_y,assists_y,total_xgc,goals_conceded_y,clean_sheets_y,total_xgi,avg_threat
0,0,0.0,0.0,0,0,0,11,172741,0,0.0,0,40,517,DEF,Aaron,Cresswell,19,0.2,8,0,182680,0,0,0.23,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,1429,0,0.0,0,43,93,DEF,Aaron,Hickey,4,0.0,0,0,1516,0,0,0.0,0.0,0.0,,
0,0,0.0,1.26,2,0,90,11,245406,1,0.0,0,44,14,GK,Aaron,Ramsdale,17,3.2,540,6,229783,0,0,13.19,12.0,1.0,,
0,1,0.01,1.05,0,0,66,11,173893,1,0.0,6,44,388,DEF,Aaron,Wan-Bissaka,19,2.2,516,6,178658,0,0,8.28,10.0,1.0,,
0,1,0.21,0.47,0,0,85,11,21138,1,9.0,3,52,217,MID,Abdoulaye,Doucouré,8,2.2,434,5,24277,0,0,,,,0.4,5.0
0,0,0.05,0.7,3,0,90,11,36442,1,13.0,2,53,570,MID,Abdul,Fatawu,11,2.2,310,3,40540,0,1,,,,1.1,17.67
0,0,0.09,0.02,0,0,1,11,376330,0,0.0,1,51,239,MID,Adama,Traoré,9,2.4,318,4,394731,0,1,,,,2.21,15.17
0,0,0.09,1.26,2,0,90,11,64847,1,9.0,2,51,453,FWD,Adam,Armstrong,17,2.0,241,2,70269,1,0,,,,0.58,10.5
0,0,0.19,1.23,2,0,59,11,3482,1,4.0,1,50,463,MID,Adam,Lallana,17,0.4,183,3,3460,0,0,,,,0.34,1.83
0,0,0.01,1.12,3,0,83,11,21087,1,0.0,0,45,81,DEF,Adam,Smith,3,1.2,430,4,21791,0,0,5.65,7.0,0.0,,
0,0,0.0,0.0,0,0,0,11,7337,0,0.0,0,43,147,DEF,Adam,Webster,5,0.2,64,2,8830,0,0,3.95,4.0,0.0,,
0,0,0.0,0.0,0,0,0,11,24123,0,0.0,0,48,216,MID,Adam,Wharton,7,0.8,233,3,30751,0,0,,,,0.35,3.5
0,0,0.0,0.0,0,0,0,11,1654,0,0.0,0,45,133,MID,Adrian,Mazilu,5,0.0,0,0,1858,0,0,,,,0.0,0.0
0,0,0.07,0.05,0,1,33,11,1222561,0,13.0,6,64,372,MID,Alejandro,Garnacho,14,4.6,483,5,987997,2,0,,,,1.54,38.67
0,0,0.0,0.0,0,0,0,11,629,0,0.0,0,50,507,FWD,Alejo,Véliz,18,0.0,0,0,665,0,0,,,,0.0,0.0
1,0,0.79,0.63,1,1,90,11,1664323,1,48.0,11,84,401,FWD,Alexander,Isak,15,5.6,360,4,1570044,3,1,,,,3.42,34.5
0,1,0.08,1.33,0,0,86,11,157967,1,0.0,3,62,329,MID,Alexis,Mac Allister,12,1.0,357,5,170691,0,0,,,,0.51,8.0
1,1,0.78,1.5,0,0,88,11,224107,1,28.0,5,55,247,MID,Alex,Iwobi,9,4.4,524,6,152393,1,1,,,,2.3,15.33
0,0,0.0,0.0,0,0,0,11,16762,0,0.0,0,44,469,GK,Alex,McCarthy,17,0.0,0,0,17753,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,1925,0,0.0,0,45,435,MID,Alex,Mighten,16,0.0,0,0,2169,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,95829,0,0.0,0,40,390,DEF,Alex,Murphy,15,0.0,0,0,99027,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,2999,0,0.0,0,40,75,GK,Alex,Paulsen,3,0.0,0,0,3177,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,3842,0,0.0,0,48,77,MID,Alex,Scott,3,0.8,103,1,4481,0,0,,,,0.12,1.33
0,0,0.0,0.0,0,0,0,11,6685,0,0.0,0,45,485,MID,Alfie,Devine,18,0.0,0,0,7561,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,4252,0,0.0,0,40,170,DEF,Alfie,Gilchrist,6,0.0,0,0,4685,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,12868,0,0.0,0,40,664,DEF,Alfie,Pond,20,0.0,0,0,10984,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,155966,0,0.0,0,40,510,GK,Alfie,Whiteman,18,0.0,0,0,159730,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,585238,0,0.0,0,54,310,GK,Alisson,Ramses Becker,12,2.0,168,2,772540,0,0,1.13,1.0,1.0,,
0,0,0.0,0.0,0,0,0,11,33194,0,0.0,0,48,260,FWD,Ali,Al-Hamadi,10,0.0,0,0,34792,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,627850,0,0.0,0,44,513,GK,Alphonse,Areola,19,0.2,270,3,708143,0,0,2.94,6.0,0.0,,
0,0,0.0,0.0,0,0,0,11,9543,0,0.0,0,43,367,GK,Altay,Bayindir,14,0.0,0,0,9544,0,0,0.0,0.0,0.0,,
